id,username,email,password,first_name,last_name,phone,avt_url,role,status,verified,last_login,created_at,updated_at
1,customer_0001,customer_0001@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User1,Demo,0900000001,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-04-05 07:17:04,2026-03-29 12:13:07
2,customer_0002,customer_0002@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User2,Demo,0900000002,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-09-09 21:36:44,2026-03-29 12:13:07
3,customer_0003,customer_0003@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User3,Demo,0900000003,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-02-23 14:57:50,2026-03-29 12:13:07
4,customer_0004,customer_0004@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User4,Demo,0900000004,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-07-11 02:50:26,2026-03-29 12:13:07
5,customer_0005,customer_0005@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User5,Demo,0900000005,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-12-24 19:30:32,2026-03-29 12:13:07
6,customer_0006,customer_0006@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User6,Demo,0900000006,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-06-05 15:33:59,2026-03-29 12:13:07
7,customer_0007,customer_0007@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User7,Demo,0900000007,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-06-20 05:55:25,2026-03-29 12:13:07
8,customer_0008,customer_0008@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User8,Demo,0900000008,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-07-15 20:11:51,2026-03-29 12:13:07
9,customer_0009,customer_0009@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User9,Demo,0900000009,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2026-02-02 12:11:40,2026-03-29 12:13:07
10,customer_0010,customer_0010@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User10,Demo,0900000010,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-08-04 09:06:51,2026-03-29 12:13:07
11,customer_0011,customer_0011@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User11,Demo,0900000011,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2026-03-10 00:51:41,2026-03-29 12:13:07
12,customer_0012,customer_0012@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User12,Demo,0900000012,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-12-22 13:56:35,2026-03-29 12:13:07
13,customer_0013,customer_0013@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User13,Demo,0900000013,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-08-17 18:46:34,2026-03-29 12:13:07
14,customer_0014,customer_0014@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User14,Demo,0900000014,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-01-27 07:07:49,2026-03-29 12:13:07
15,customer_0015,customer_0015@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User15,Demo,0900000015,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-05-24 02:19:41,2026-03-29 12:13:07
16,customer_0016,customer_0016@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User16,Demo,0900000016,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-08-26 04:21:04,2026-03-29 12:13:07
17,customer_0017,customer_0017@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User17,Demo,0900000017,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-12-13 14:55:14,2026-03-29 12:13:07
18,customer_0018,customer_0018@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User18,Demo,0900000018,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-11-18 03:02:19,2026-03-29 12:13:07
19,customer_0019,customer_0019@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User19,Demo,0900000019,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-02-04 00:59:38,2026-03-29 12:13:07
